subjectID,ACR,ACR-L,ACR-R,ALIC,ALIC-L,ALIC-R,AverageFA,BCC,CC,CGC,CGC-L,CGC-R,CGH,CGH-L,CGH-R,CR,CR-L,CR-R,CST,CST-L,CST-R,EC,EC-L,EC-R,FX,FX/ST-L,FX/ST-R,FXST,GCC,IC,IC-L,IC-R,IFO,IFO-L,IFO-R,PCR,PCR-L,PCR-R,PLIC,PLIC-L,PLIC-R,PTR,PTR-L,PTR-R,RLIC,RLIC-L,RLIC-R,SCC,SCR,SCR-L,SCR-R,SFO,SFO-L,SFO-R,SLF,SLF-L,SLF-R,SS,SS-L,SS-R,UNC,UNC-L,UNC-R
sub-FREAD001,0.00138749,0.00138051,0.00139452,0.00164062,0.00159321,0.00168371,0.00132216,0.00163462,0.00173415,0.00122608,0.00126022,0.00118957,0.00176017,0.00181322,0.00170671,0.0013621,0.00134829,0.00137545,0.00139369,0.00137002,0.00141903,0.00127535,0.00122445,0.00132604,0.00204511,0.00136476,0.00140703,0.00138332,0.0018858,0.00144678,0.00141841,0.00147369,0.00149218,0.00135631,0.00160541,0.00145018,0.00145261,0.00144801,0.0013145,0.00131761,0.00131143,0.00155515,0.00153407,0.00157558,0.00140806,0.00136791,0.00144592,0.00175046,0.00128795,0.00125931,0.00131549,0.00168345,0.00162437,0.00174073,0.00121,0.00118691,0.0012326,0.00146298,0.00142876,0.0014973,0.00202324,0.00198489,0.00204967
sub-FREAD002,0.00139939,0.00139444,0.00140437,0.00185982,0.00181783,0.00189798,0.00141073,0.00179726,0.00183702,0.00123694,0.00126893,0.00120272,0.00183737,0.00183773,0.001837,0.00139509,0.00137949,0.00141016,0.00148218,0.00152602,0.00143522,0.00130572,0.00132457,0.00128695,0.00242334,0.00149535,0.00154434,0.00151686,0.00192159,0.00155737,0.00154908,0.00156523,0.00148321,0.00147608,0.00148915,0.00146258,0.00143445,0.00148764,0.00129194,0.00129009,0.00129377,0.00171901,0.0017441,0.0016947,0.00156702,0.00159792,0.00153788,0.00182451,0.00135534,0.00133495,0.00137496,0.00185329,0.00184249,0.00186375,0.00120279,0.00118253,0.00122263,0.00160488,0.00160388,0.00160588,0.00226636,0.00220734,0.00230703
sub-FREAD003,0.00126394,0.00127722,0.00125059,0.00159735,0.00153066,0.00165797,0.00132614,0.00166317,0.00174421,0.00124995,0.00127217,0.00122618,0.00165247,0.00165219,0.00165275,0.00128055,0.00127501,0.0012859,0.0013742,0.00137907,0.00136899,0.00119894,0.00116723,0.00123051,0.00212303,0.00142216,0.00145944,0.00143853,0.00177716,0.00145818,0.00142273,0.00149181,0.00133973,0.00135092,0.0013304,0.00142959,0.00138969,0.00146514,0.00132201,0.00132637,0.00131769,0.00162724,0.00162288,0.00163147,0.00147927,0.00143305,0.00152284,0.00182933,0.00122216,0.00121547,0.0012286,0.00185453,0.00184214,0.00186654,0.00121036,0.00123376,0.00118744,0.00144347,0.00143683,0.00145014,0.00228681,0.00221321,0.00233754
sub-FREAD004,0.00123101,0.00116314,0.00129928,0.00113743,0.00116869,0.00110902,0.00110816,0.00140439,0.00139085,0.00118329,0.00118432,0.00118219,0.00117454,0.00129359,0.00105457,0.00121646,0.0011881,0.00124385,0.00104616,0.00111681,0.000970491,0.00108251,0.00109903,0.00106605,0.00157194,0.00110842,0.00107326,0.00109298,0.00137651,0.00119881,0.00121476,0.00118367,0.00119441,0.0011845,0.00120267,0.00127059,0.00126698,0.00127381,0.00121732,0.00122646,0.00120828,0.00136376,0.00135136,0.00137578,0.0012388,0.00124617,0.00123185,0.00138365,0.00117206,0.00117764,0.0011667,0.00131067,0.0014466,0.0011789,0.00113316,0.00113342,0.00113291,0.00124754,0.00123461,0.00126051,0.00145781,0.0014401,0.00147002
sub-FREAD005,0.00130179,0.00130552,0.00129803,0.00129336,0.00131098,0.00127734,0.00122363,0.00157687,0.00157151,0.0012454,0.00129488,0.00119248,0.00171207,0.00184096,0.0015822,0.00125749,0.00125447,0.00126041,0.00136401,0.00135581,0.0013728,0.00116745,0.00122041,0.0011147,0.00183119,0.00152024,0.0013572,0.00144865,0.00156306,0.00129191,0.00131253,0.00127235,0.00126355,0.00131016,0.00122471,0.00133356,0.00124727,0.00141042,0.00122985,0.00123387,0.00122588,0.0016643,0.00165356,0.00167472,0.00136409,0.00140972,0.00132106,0.00157087,0.00116825,0.00119924,0.00113845,0.00123605,0.00129072,0.00118306,0.00118043,0.00115629,0.00120406,0.00138249,0.00147538,0.00128931,0.00175992,0.00162652,0.00185186
sub-FREAD006,0.00123743,0.00125706,0.00121769,0.00134341,0.00137999,0.00131016,0.00108791,0.00140945,0.00142431,0.00108897,0.00110067,0.00107646,0.00122127,0.00126622,0.00117598,0.00120618,0.00122364,0.00118932,0.00108903,0.00106916,0.00111031,0.00102874,0.00101631,0.00104112,0.00168746,0.00109403,0.000988407,0.00104765,0.00151882,0.00123206,0.00125924,0.00120627,0.00110171,0.0011116,0.00109347,0.00124331,0.00121132,0.00127181,0.00118025,0.00118901,0.00117157,0.00133268,0.00135739,0.00130873,0.00118116,0.00122507,0.00113976,0.00136972,0.00115178,0.00119127,0.0011138,0.00126853,0.0013005,0.00123754,0.00104079,0.00103721,0.0010443,0.00117086,0.00116664,0.0011751,0.00151035,0.00147773,0.00153283
sub-FREAD007,0.00136382,0.00136574,0.00136188,0.00137966,0.00135733,0.00139996,0.00120173,0.00152735,0.00150515,0.00114,0.00113834,0.00114177,0.00139987,0.00149094,0.0013081,0.00131208,0.00131292,0.00131127,0.00105943,0.000971817,0.00115326,0.00120433,0.00118724,0.00122135,0.00175314,0.00117086,0.00116609,0.00116877,0.00154351,0.00132075,0.00130858,0.0013323,0.00123496,0.00125509,0.00121819,0.0013271,0.00131159,0.00134092,0.00127745,0.00126562,0.00128916,0.00143478,0.00142142,0.00144773,0.00131267,0.00131255,0.00131278,0.00144423,0.00124604,0.00125274,0.00123959,0.00157254,0.00166806,0.00147995,0.00117509,0.00115495,0.0011948,0.001291,0.00127457,0.00130748,0.00147827,0.00141783,0.00151993
sub-FREAD008,0.00124185,0.00129374,0.00118967,0.00160869,0.00157832,0.00163629,0.00116933,0.00163085,0.00160304,0.00120601,0.0011963,0.00121639,0.00144961,0.00136878,0.00153105,0.00125378,0.00128638,0.00122229,0.00124836,0.00119571,0.00130474,0.00107147,0.00109121,0.00105181,0.00183027,0.00116805,0.00105583,0.00111877,0.0015277,0.00138148,0.00137963,0.00138323,0.00115262,0.00115331,0.00115205,0.001371,0.00140621,0.00133963,0.001216,0.00121835,0.00121367,0.00162647,0.00166469,0.00158942,0.00134848,0.00137902,0.00131968,0.00162464,0.00120657,0.00121834,0.00119525,0.00188483,0.00199054,0.00178236,0.00113289,0.00111913,0.00114637,0.00148732,0.00149835,0.00147626,0.00180496,0.00180886,0.00180227
sub-FREAD009,0.00126915,0.00125528,0.0012831,0.00136521,0.00145525,0.00128337,0.00118492,0.00156703,0.00156461,0.00121877,0.00127028,0.00116367,0.00115557,0.00118161,0.00112934,0.00125737,0.00125591,0.00125877,0.00105572,0.00108375,0.0010257,0.00116457,0.0011714,0.00115777,0.0018372,0.00117715,0.00112058,0.00115231,0.00152609,0.00130223,0.00133733,0.00126891,0.00123965,0.00126514,0.00121841,0.00137423,0.00136082,0.00138617,0.00125157,0.0012498,0.00125333,0.00141485,0.00148638,0.00134551,0.00129876,0.00132702,0.00127211,0.00159186,0.00118364,0.00120448,0.0011636,0.00147016,0.00165551,0.00129049,0.00115575,0.00113121,0.00117977,0.00130379,0.00133298,0.0012745,0.00163959,0.00158311,0.00167852
sub-FREAD010,0.00133649,0.00135016,0.00132274,0.00109591,0.00108527,0.00110559,0.00112431,0.00139975,0.00143887,0.00117926,0.00119153,0.00116613,0.00116395,0.00118364,0.00114411,0.00127904,0.00130035,0.00125845,0.00108025,0.00111177,0.0010465,0.00109297,0.00108586,0.00110005,0.00138829,0.00109411,0.00103485,0.00106809,0.00151547,0.00117064,0.00116623,0.00117482,0.00112363,0.00112,0.00112665,0.00129447,0.00131939,0.00127227,0.00117376,0.00117109,0.00117641,0.00137428,0.00135483,0.00139314,0.00124236,0.00124051,0.0012441,0.00143179,0.00120634,0.00123351,0.00118021,0.00110854,0.00112625,0.00109138,0.00114255,0.00113223,0.00115265,0.00130383,0.00129991,0.00130777,0.00148048,0.00153336,0.00144403
