subjectID,ACR,ACR-L,ACR-R,ALIC,ALIC-L,ALIC-R,AverageFA,BCC,CC,CGC,CGC-L,CGC-R,CGH,CGH-L,CGH-R,CR,CR-L,CR-R,CST,CST-L,CST-R,EC,EC-L,EC-R,FX,FX/ST-L,FX/ST-R,FXST,GCC,IC,IC-L,IC-R,IFO,IFO-L,IFO-R,PCR,PCR-L,PCR-R,PLIC,PLIC-L,PLIC-R,PTR,PTR-L,PTR-R,RLIC,RLIC-L,RLIC-R,SCC,SCR,SCR-L,SCR-R,SFO,SFO-L,SFO-R,SLF,SLF-L,SLF-R,SS,SS-L,SS-R,UNC,UNC-L,UNC-R
sub-FREAD001,0.462184,0.449378,0.474749,0.619476,0.635152,0.6039,0.485827,0.715058,0.700108,0.606641,0.644869,0.571309,0.469154,0.463223,0.475602,0.50178,0.491816,0.511684,0.595744,0.591405,0.600865,0.466624,0.473857,0.459519,0.377169,0.558849,0.547981,0.553869,0.613021,0.643012,0.656919,0.629135,0.5764,0.561501,0.591299,0.54674,0.532776,0.557688,0.704022,0.71395,0.694202,0.595979,0.581969,0.609385,0.600959,0.617859,0.583857,0.75566,0.531179,0.526265,0.536693,0.601597,0.606921,0.598269,0.525818,0.528126,0.523193,0.518102,0.522227,0.513849,0.541611,0.526174,0.550677
sub-FREAD002,0.497607,0.485709,0.509282,0.617367,0.629751,0.605063,0.48529,0.670528,0.680182,0.665202,0.698986,0.633978,0.516657,0.518879,0.514242,0.55356,0.546679,0.5604,0.57328,0.597169,0.545085,0.499666,0.503515,0.495886,0.265379,0.547254,0.526215,0.537613,0.620317,0.646718,0.651961,0.641486,0.602798,0.625682,0.579914,0.596845,0.591646,0.600921,0.720626,0.721079,0.720178,0.582854,0.571466,0.593752,0.596658,0.600277,0.592995,0.751383,0.604121,0.601309,0.607277,0.653308,0.666305,0.645185,0.535825,0.524482,0.548727,0.531394,0.52874,0.534129,0.545194,0.561221,0.535781
sub-FREAD003,0.446335,0.4433,0.449313,0.619972,0.619918,0.620026,0.475463,0.678111,0.676534,0.602632,0.640315,0.567803,0.472935,0.484988,0.459832,0.500773,0.501363,0.500187,0.625953,0.659174,0.586745,0.457471,0.462299,0.452728,0.515052,0.529895,0.502829,0.517492,0.614907,0.657184,0.659208,0.655165,0.48503,0.436251,0.533809,0.54433,0.534404,0.552112,0.716875,0.717026,0.716725,0.572833,0.555644,0.589282,0.63096,0.637558,0.624283,0.730758,0.549322,0.557009,0.540695,0.5854,0.578807,0.58952,0.514909,0.520108,0.508996,0.538469,0.535145,0.541896,0.543992,0.540165,0.546239
sub-FREAD004,0.489566,0.516075,0.463554,0.605909,0.606563,0.605259,0.498941,0.688888,0.698414,0.624713,0.630341,0.619511,0.473793,0.500833,0.444395,0.513205,0.523897,0.502579,0.509692,0.50842,0.511194,0.46633,0.475384,0.457437,0.673903,0.499457,0.47398,0.487782,0.67306,0.618201,0.625742,0.610676,0.572213,0.538586,0.605839,0.579359,0.584897,0.575018,0.662835,0.672114,0.653657,0.584663,0.587185,0.58225,0.582254,0.595527,0.568823,0.737575,0.51325,0.510463,0.516377,0.600967,0.639393,0.576951,0.512644,0.518346,0.506159,0.497406,0.479575,0.515786,0.709246,0.695772,0.717159
sub-FREAD005,0.476113,0.458546,0.493351,0.624047,0.620073,0.627996,0.479624,0.723182,0.719155,0.672005,0.70745,0.639245,0.474113,0.452449,0.497665,0.483234,0.47096,0.495434,0.484319,0.450298,0.524472,0.478056,0.475905,0.480168,0.507901,0.562857,0.522322,0.544282,0.67569,0.629261,0.631281,0.627246,0.574642,0.58194,0.567343,0.503798,0.49979,0.50694,0.666471,0.667046,0.665903,0.575393,0.58047,0.570534,0.594,0.604241,0.583636,0.752569,0.482963,0.474801,0.492122,0.641078,0.617328,0.655922,0.501626,0.493177,0.511236,0.565629,0.559401,0.572049,0.528735,0.549276,0.516671
sub-FREAD006,0.439852,0.434692,0.444915,0.626927,0.606028,0.647692,0.481546,0.632437,0.65169,0.573662,0.59117,0.557481,0.570672,0.61401,0.523555,0.466138,0.462688,0.469567,0.575095,0.566217,0.585573,0.483912,0.482571,0.485229,0.698069,0.587943,0.657576,0.619852,0.615238,0.618802,0.617868,0.619735,0.615412,0.609004,0.621819,0.496872,0.489495,0.502656,0.659603,0.668622,0.650681,0.520124,0.511859,0.528033,0.565581,0.575258,0.555788,0.717198,0.48526,0.485493,0.484998,0.650911,0.666919,0.640906,0.499786,0.496553,0.503463,0.552228,0.522461,0.582912,0.485918,0.429323,0.519156
sub-FREAD007,0.390066,0.396258,0.38399,0.57142,0.57093,0.571907,0.434815,0.59129,0.603714,0.497023,0.514861,0.480536,0.478644,0.508299,0.446404,0.433254,0.443675,0.422896,0.490181,0.5188,0.456403,0.417467,0.428818,0.406318,0.511291,0.497351,0.504818,0.500773,0.555998,0.579478,0.580168,0.578789,0.499499,0.511166,0.487832,0.493146,0.491829,0.494178,0.628998,0.623887,0.634054,0.494288,0.497299,0.491407,0.533728,0.542464,0.524888,0.6683,0.460487,0.481283,0.437149,0.571125,0.553219,0.582317,0.449308,0.446832,0.452124,0.461,0.463247,0.458683,0.516768,0.532707,0.507407
sub-FREAD008,0.464238,0.454673,0.473623,0.646645,0.646882,0.64641,0.504428,0.710954,0.714361,0.63309,0.647617,0.619663,0.556921,0.58619,0.525101,0.483281,0.480038,0.486504,0.549421,0.573973,0.520444,0.539086,0.534046,0.544037,0.528475,0.565008,0.524721,0.546547,0.67306,0.628219,0.626053,0.63038,0.543118,0.513413,0.572823,0.507042,0.512094,0.503081,0.654733,0.659143,0.650371,0.530595,0.52414,0.536772,0.579806,0.568523,0.591224,0.758094,0.496467,0.497825,0.494944,0.636993,0.623112,0.645669,0.528271,0.523039,0.534222,0.516621,0.505744,0.527834,0.534027,0.539827,0.53062
sub-FREAD009,0.459322,0.443145,0.475195,0.593295,0.575916,0.610562,0.48525,0.687864,0.682194,0.575429,0.579902,0.571294,0.440962,0.447251,0.434125,0.489122,0.480416,0.497776,0.554374,0.55092,0.558451,0.439258,0.42718,0.451122,0.502295,0.506499,0.519579,0.512493,0.630495,0.603513,0.593664,0.613341,0.554363,0.551043,0.557683,0.542857,0.540326,0.544841,0.648087,0.638057,0.658009,0.600958,0.584683,0.616533,0.565451,0.564099,0.566819,0.720483,0.502387,0.501812,0.503032,0.629333,0.630225,0.628775,0.497408,0.480213,0.516966,0.552323,0.54387,0.561037,0.639893,0.568463,0.681844
sub-FREAD010,0.448328,0.467102,0.429906,0.602693,0.580205,0.625036,0.49298,0.688784,0.678852,0.565786,0.586616,0.546534,0.576932,0.623324,0.526495,0.474722,0.488318,0.461207,0.513637,0.51466,0.51243,0.466733,0.467428,0.46605,0.584277,0.508715,0.528233,0.517659,0.629399,0.626062,0.619316,0.632794,0.522875,0.549152,0.496599,0.496645,0.496456,0.496793,0.672222,0.676944,0.66755,0.541874,0.55561,0.52873,0.600096,0.597685,0.602536,0.70801,0.497902,0.510108,0.484204,0.645144,0.643185,0.646369,0.518633,0.507136,0.531711,0.522948,0.526203,0.519592,0.550405,0.534064,0.560002
sub-FREHC001,0.479625,0.476244,0.482942,0.638723,0.635613,0.641812,0.522354,0.7684,0.759009,0.690221,0.7274,0.655859,0.50832,0.478058,0.541221,0.495373,0.490869,0.499849,0.569097,0.562889,0.576423,0.512983,0.514325,0.511665,0.716813,0.563979,0.551874,0.558432,0.730881,0.638853,0.641863,0.635849,0.591362,0.650869,0.531856,0.535899,0.53324,0.537984,0.685094,0.685688,0.684507,0.628519,0.612564,0.643786,0.588356,0.600931,0.57563,0.769393,0.49698,0.492283,0.502251,0.703283,0.677018,0.719698,0.544526,0.526031,0.565563,0.576906,0.564921,0.589261,0.647195,0.645476,0.648204
sub-FREHC002,0.408265,0.400211,0.416167,0.585627,0.5777,0.593502,0.488513,0.693123,0.693443,0.606426,0.628514,0.586011,0.479691,0.498818,0.458896,0.451527,0.449543,0.453499,0.523229,0.494017,0.557705,0.43392,0.435968,0.431908,0.637748,0.540801,0.505231,0.524501,0.658094,0.618605,0.625914,0.611311,0.498935,0.479524,0.518345,0.496477,0.509676,0.486128,0.689211,0.699989,0.678549,0.593653,0.610029,0.577983,0.575977,0.595966,0.555749,0.726574,0.485506,0.484955,0.486124,0.603669,0.625822,0.589823,0.493754,0.496855,0.490226,0.529416,0.537487,0.521096,0.572017,0.627557,0.539398
sub-FREHC003,0.441696,0.442567,0.440841,0.58305,0.573673,0.592366,0.491269,0.654613,0.675634,0.613788,0.657197,0.573668,0.540612,0.540849,0.540354,0.461482,0.457051,0.465885,0.508874,0.522561,0.492721,0.476236,0.492407,0.460352,0.658817,0.541205,0.49304,0.519134,0.64963,0.589885,0.588594,0.591173,0.5656,0.546593,0.584606,0.486874,0.463958,0.50484,0.626272,0.624008,0.628512,0.570933,0.571703,0.570196,0.55723,0.565805,0.548552,0.734437,0.474869,0.471427,0.478732,0.600969,0.59168,0.606774,0.529707,0.516019,0.545276,0.548494,0.545799,0.551271,0.595798,0.61916,0.582078
sub-FREHC004,0.494501,0.484091,0.504716,0.646446,0.651324,0.6416,0.495981,0.679762,0.697051,0.580163,0.618187,0.54502,0.572284,0.553651,0.592542,0.509834,0.508968,0.510695,0.518784,0.551842,0.479767,0.46789,0.46808,0.467703,0.59032,0.518944,0.50799,0.513924,0.682259,0.646599,0.653926,0.639287,0.539572,0.562751,0.516392,0.53668,0.544395,0.530631,0.691614,0.686415,0.696757,0.557038,0.558094,0.556027,0.597467,0.621463,0.573184,0.739332,0.517017,0.524938,0.508127,0.638205,0.614193,0.653212,0.493253,0.501887,0.483432,0.515388,0.5209,0.509706,0.660799,0.673882,0.653115
sub-FREHC005,0.487287,0.492603,0.48207,0.616195,0.616832,0.615562,0.507796,0.722522,0.710322,0.635999,0.637064,0.635015,0.572644,0.552053,0.595031,0.496178,0.493795,0.498547,0.585832,0.569357,0.605276,0.483602,0.465108,0.501767,0.578149,0.541539,0.554121,0.547305,0.668221,0.618887,0.618233,0.61954,0.559996,0.508259,0.611733,0.522765,0.498768,0.54158,0.656928,0.665013,0.648931,0.576571,0.569612,0.583231,0.580064,0.569048,0.591212,0.728943,0.495436,0.493349,0.497778,0.574814,0.58329,0.569516,0.523261,0.5305,0.515027,0.523845,0.530884,0.51659,0.647777,0.642324,0.650979
sub-FREHC006,0.492169,0.500683,0.483814,0.616382,0.627965,0.604873,0.489045,0.686161,0.684925,0.616641,0.628496,0.605685,0.474136,0.462502,0.486785,0.493892,0.495486,0.492307,0.487348,0.497435,0.475444,0.506021,0.518304,0.493956,0.651225,0.539144,0.548673,0.543511,0.648695,0.618704,0.624368,0.613052,0.609807,0.648609,0.571006,0.51309,0.511044,0.514694,0.660783,0.662943,0.658647,0.590239,0.57978,0.600247,0.575069,0.578856,0.571237,0.716292,0.487493,0.483653,0.491802,0.629002,0.594559,0.650529,0.501669,0.492269,0.51236,0.555862,0.550571,0.561316,0.566269,0.585934,0.554719
sub-FREHC007,0.479847,0.486095,0.473716,0.618515,0.615806,0.621206,0.512909,0.713648,0.714995,0.625175,0.659318,0.593619,0.501308,0.499762,0.502989,0.492048,0.496815,0.48731,0.54717,0.516046,0.583904,0.471887,0.481219,0.46272,0.691742,0.544394,0.517565,0.5321,0.682677,0.622635,0.6272,0.61808,0.569114,0.554981,0.583247,0.514952,0.503003,0.524321,0.667662,0.671049,0.664312,0.612502,0.624574,0.600949,0.577664,0.591601,0.56356,0.747031,0.497077,0.507057,0.485876,0.650558,0.631295,0.662598,0.56487,0.56577,0.563846,0.557189,0.551475,0.563079,0.610545,0.633006,0.597354
sub-FREHC008,0.475849,0.475598,0.476095,0.609652,0.61707,0.602281,0.518225,0.688609,0.691198,0.674107,0.706985,0.643719,0.57675,0.543566,0.612826,0.494116,0.488812,0.499388,0.530742,0.516043,0.54809,0.508469,0.528122,0.489165,0.690313,0.562415,0.604336,0.581625,0.645129,0.628205,0.631329,0.625088,0.576995,0.572065,0.581926,0.533401,0.524661,0.540253,0.679628,0.663819,0.695267,0.570246,0.58584,0.555323,0.591411,0.611016,0.571571,0.737974,0.499422,0.490992,0.508882,0.565415,0.551205,0.574297,0.521698,0.516511,0.527597,0.553757,0.562114,0.545142,0.560321,0.567555,0.556073
sub-FREHC009,0.458278,0.468504,0.448243,0.566311,0.568572,0.564065,0.491671,0.665147,0.670155,0.608647,0.647066,0.573139,0.53733,0.550687,0.522809,0.469379,0.473986,0.464801,0.506193,0.511871,0.499492,0.463077,0.467668,0.458568,0.710749,0.527933,0.497163,0.513833,0.63064,0.5762,0.580114,0.572295,0.568578,0.574961,0.562195,0.49324,0.491468,0.49463,0.619639,0.622251,0.617055,0.528442,0.532568,0.524493,0.539036,0.546524,0.531459,0.714894,0.47261,0.473924,0.471135,0.538299,0.532692,0.541804,0.491364,0.483137,0.500721,0.508783,0.522978,0.49415,0.569264,0.588255,0.55811
sub-FREHC010,0.456564,0.45522,0.457882,0.619824,0.614684,0.62493,0.499408,0.674146,0.677347,0.634978,0.676792,0.596331,0.490698,0.477915,0.504596,0.480083,0.478507,0.481651,0.535488,0.550975,0.51721,0.492605,0.498753,0.486566,0.670412,0.515133,0.506299,0.511085,0.629238,0.63593,0.635636,0.636224,0.594638,0.569573,0.619702,0.491761,0.483302,0.498393,0.701387,0.695179,0.707528,0.602982,0.602612,0.603336,0.581196,0.593008,0.569243,0.727017,0.504239,0.503954,0.504559,0.614225,0.596461,0.625327,0.515695,0.51286,0.518919,0.551257,0.552128,0.55036,0.596941,0.542648,0.628828
sub-FREHC011,0.440426,0.443003,0.437898,0.602673,0.605401,0.599962,0.497239,0.669434,0.67813,0.598364,0.605138,0.592104,0.56438,0.551065,0.578856,0.463387,0.469753,0.457059,0.547974,0.533533,0.565017,0.466458,0.474594,0.458466,0.698699,0.563519,0.496004,0.532581,0.634708,0.611632,0.614659,0.608612,0.595902,0.633436,0.558367,0.488574,0.499827,0.479752,0.662064,0.658754,0.665338,0.49643,0.493053,0.499661,0.565833,0.576569,0.554969,0.73258,0.480829,0.489893,0.470656,0.597467,0.601203,0.595132,0.499898,0.511656,0.486523,0.519707,0.532259,0.506768,0.449345,0.436455,0.456915
sub-FREHC012,0.51374,0.511098,0.516332,0.651401,0.648643,0.654142,0.521335,0.700557,0.706727,0.653671,0.695855,0.614683,0.517081,0.526612,0.50672,0.517455,0.512512,0.522369,0.524764,0.516406,0.534629,0.509762,0.514269,0.505336,0.752902,0.541881,0.54331,0.542536,0.660652,0.653185,0.652228,0.654141,0.56379,0.582253,0.545327,0.520048,0.511794,0.52652,0.688259,0.686468,0.690031,0.609568,0.611086,0.608115,0.616656,0.618896,0.61439,0.759441,0.520938,0.514431,0.528241,0.566527,0.563086,0.568678,0.536622,0.534179,0.539401,0.567735,0.563681,0.571913,0.586017,0.597541,0.579249
sub-FREHC013,0.453189,0.46224,0.444308,0.633802,0.635392,0.632223,0.496709,0.68489,0.678612,0.610709,0.653707,0.570968,0.532388,0.522081,0.543594,0.460191,0.463795,0.456608,0.534379,0.56403,0.499384,0.47095,0.477963,0.464061,0.671704,0.546791,0.604384,0.573183,0.615119,0.62354,0.62978,0.617314,0.508424,0.464822,0.552026,0.482776,0.47632,0.487837,0.667041,0.669597,0.664513,0.55817,0.54837,0.567547,0.565114,0.580823,0.549217,0.72677,0.458872,0.460978,0.456509,0.616044,0.614459,0.617034,0.493547,0.494785,0.492139,0.528977,0.541092,0.516489,0.553538,0.535053,0.564395
sub-FREHC014,0.478947,0.485268,0.472744,0.610366,0.614085,0.606671,0.480828,0.666075,0.682815,0.640734,0.678877,0.605481,0.524133,0.516858,0.532042,0.498985,0.496698,0.501257,0.519301,0.525762,0.511675,0.486017,0.496926,0.475301,0.569296,0.523084,0.52091,0.522088,0.651254,0.627324,0.633088,0.621573,0.539676,0.524564,0.554787,0.538565,0.519874,0.553219,0.661889,0.664223,0.65958,0.568344,0.572358,0.564502,0.607312,0.619185,0.595297,0.739651,0.506368,0.501482,0.511851,0.59528,0.586732,0.600622,0.512938,0.500734,0.526819,0.554217,0.557196,0.551147,0.582558,0.596858,0.574159
sub-FREHC015,0.472733,0.495934,0.449968,0.64603,0.656503,0.635624,0.49511,0.70419,0.713421,0.659729,0.696974,0.625306,0.519653,0.522025,0.517074,0.514633,0.535216,0.494174,0.538595,0.546937,0.52875,0.494191,0.494296,0.494088,0.5506,0.546994,0.55353,0.549989,0.670843,0.660076,0.668467,0.651704,0.543438,0.529541,0.557336,0.558221,0.56058,0.556372,0.716681,0.721182,0.712229,0.592312,0.585694,0.598645,0.612868,0.623864,0.60174,0.76798,0.547518,0.571748,0.520326,0.671007,0.647706,0.68557,0.548231,0.550669,0.545458,0.534498,0.532836,0.536211,0.656462,0.649925,0.660301
sub-FREHC016,0.424936,0.421328,0.428477,0.582285,0.577967,0.586575,0.459159,0.664634,0.667168,0.608289,0.62861,0.589507,0.480445,0.520597,0.436792,0.454834,0.452256,0.457396,0.490078,0.46331,0.52167,0.47675,0.484926,0.46872,0.573464,0.540958,0.517523,0.530219,0.621688,0.593528,0.597827,0.589238,0.622763,0.632005,0.61352,0.479367,0.46792,0.488342,0.660213,0.662068,0.658377,0.543955,0.528062,0.559164,0.532333,0.548975,0.515493,0.713311,0.481225,0.482614,0.479667,0.612789,0.579667,0.63349,0.470417,0.473371,0.467056,0.484358,0.48758,0.481036,0.579991,0.575847,0.582425
