subjectID,ACR,ACR-L,ACR-R,ALIC,ALIC-L,ALIC-R,AverageFA,BCC,CC,CGC,CGC-L,CGC-R,CGH,CGH-L,CGH-R,CR,CR-L,CR-R,CST,CST-L,CST-R,EC,EC-L,EC-R,FX,FX/ST-L,FX/ST-R,FXST,GCC,IC,IC-L,IC-R,IFO,IFO-L,IFO-R,PCR,PCR-L,PCR-R,PLIC,PLIC-L,PLIC-R,PTR,PTR-L,PTR-R,RLIC,RLIC-L,RLIC-R,SCC,SCR,SCR-L,SCR-R,SFO,SFO-L,SFO-R,SLF,SLF-L,SLF-R,SS,SS-L,SS-R,UNC,UNC-L,UNC-R
sub-FREAD001,0.00111715,0.00112061,0.00111367,0.00163434,0.00157696,0.00168649,0.00111286,0.00145647,0.00150528,0.000849753,0.000867091,0.000831207,0.00168009,0.00173952,0.0016202,0.001069,0.00105309,0.00108437,0.00108,0.00106288,0.00109833,0.00104023,0.000964038,0.0011161,0.00183174,0.00109673,0.00116655,0.00112739,0.00172627,0.00117357,0.00112382,0.0012208,0.00123843,0.00107188,0.00137722,0.00116462,0.00115181,0.00117604,0.000772722,0.000765659,0.000779713,0.00118886,0.00117873,0.00119868,0.00118411,0.00111065,0.00125337,0.00139692,0.000965313,0.000926246,0.00100289,0.00153975,0.00147626,0.00160129,0.00087615,0.000859116,0.000892827,0.00116628,0.00114225,0.00119039,0.00173575,0.0016676,0.00178272
sub-FREAD002,0.00114315,0.00114172,0.00114458,0.00174786,0.00170983,0.00178242,0.00121432,0.00160277,0.00164533,0.00084661,0.000858387,0.000834012,0.00173167,0.00175575,0.00170741,0.00109028,0.00107436,0.00110565,0.00120116,0.00122962,0.00117068,0.00105523,0.00107348,0.00103706,0.0023,0.0013091,0.00135486,0.00132919,0.00178416,0.00128466,0.00127403,0.00129475,0.00130803,0.00132886,0.00129068,0.00115534,0.00110732,0.00119812,0.000812557,0.000821525,0.000803679,0.0014295,0.00150515,0.00135617,0.00137728,0.00139278,0.00136267,0.0015936,0.000997067,0.000980367,0.00101313,0.00169786,0.00169701,0.00169869,0.000904337,0.000893585,0.000914865,0.00136125,0.00138477,0.00133765,0.00209822,0.00204946,0.00213182
sub-FREAD003,0.00100716,0.00102264,0.000991589,0.0016121,0.00156361,0.00165617,0.00111054,0.00149199,0.00153662,0.000791113,0.000792833,0.000789274,0.00162487,0.00162205,0.00162771,0.000985398,0.000970317,0.000999964,0.00107487,0.00106378,0.00108674,0.000978976,0.000927711,0.00103003,0.00190961,0.00115183,0.00121932,0.00118146,0.00161288,0.0011958,0.00116759,0.00122258,0.00109808,0.00108412,0.00110971,0.00114811,0.00109929,0.0011916,0.000791911,0.000803004,0.00078093,0.00126335,0.00127885,0.00124832,0.00125483,0.00121881,0.0012888,0.00153739,0.000876721,0.000845933,0.000906334,0.00170633,0.0017219,0.00169123,0.000919671,0.000942728,0.000897096,0.00117469,0.00116466,0.00118475,0.00211144,0.00204548,0.0021569
sub-FREAD004,0.000954023,0.000872247,0.00103627,0.000908519,0.00105848,0.000772209,0.000816339,0.00112107,0.001046,0.000693335,0.000694217,0.000692391,0.0010153,0.00120443,0.000824712,0.000900899,0.000872217,0.000928599,0.000784822,0.000840618,0.000725067,0.000758257,0.000768569,0.000747987,0.00143442,0.00074034,0.000748892,0.000744095,0.000997604,0.000777102,0.000827888,0.000728904,0.000771156,0.000779764,0.000763982,0.000939962,0.000955611,0.000926022,0.000670233,0.000679779,0.000660783,0.000931581,0.000994179,0.000870907,0.000771255,0.000779658,0.000763333,0.000981343,0.000820857,0.000830731,0.00081136,0.00125448,0.00141143,0.00110234,0.000725934,0.000727882,0.000724026,0.000838739,0.000842381,0.000835085,0.00099695,0.001049,0.000961077
sub-FREAD005,0.00104378,0.00104831,0.00103923,0.00102186,0.00114313,0.000911631,0.000991474,0.00122612,0.00125958,0.00080306,0.00082949,0.000774789,0.00164187,0.00172331,0.0015598,0.000966513,0.000970479,0.000962683,0.00104647,0.00103284,0.00106107,0.00089,0.000956714,0.000823562,0.00158102,0.00124721,0.00108723,0.00117696,0.00135434,0.000930007,0.000992517,0.000870683,0.000948691,0.000976273,0.000925706,0.00101743,0.000950378,0.00107716,0.000683193,0.000691343,0.000675125,0.00129022,0.00130339,0.00127745,0.00113014,0.00120966,0.00105516,0.00123031,0.000853141,0.00089081,0.000816908,0.00108063,0.00119689,0.000967933,0.000866036,0.000858798,0.000873122,0.00107256,0.00120803,0.000936674,0.00129307,0.00121171,0.00134914
sub-FREAD006,0.00101667,0.00102077,0.00101255,0.00119837,0.00128772,0.00111715,0.000870589,0.00119642,0.00122631,0.000717816,0.000728981,0.000705873,0.001136,0.00117132,0.00110041,0.000939822,0.000943928,0.000935855,0.000850305,0.000817025,0.000885947,0.000783409,0.00073974,0.000826897,0.00155432,0.000875626,0.000792111,0.000838955,0.00143575,0.000921056,0.000937587,0.000905367,0.000756069,0.000767621,0.000746443,0.000970937,0.000936121,0.00100195,0.000668993,0.000662245,0.000675672,0.00102288,0.00110279,0.000945418,0.00094022,0.000925717,0.000953895,0.00110115,0.000837166,0.000859289,0.000815887,0.00111723,0.00122719,0.00101064,0.000748021,0.000738672,0.000757175,0.000903372,0.000907987,0.000898743,0.00136352,0.00125412,0.00143892
sub-FREAD007,0.0011395,0.00113716,0.00114185,0.00141155,0.00141483,0.00140856,0.000965277,0.00135685,0.00134694,0.000777173,0.000781205,0.00077286,0.0013153,0.00141836,0.00121145,0.00104358,0.00103859,0.0010484,0.000812912,0.000755121,0.000874804,0.000929467,0.000896552,0.000962245,0.00161937,0.000873696,0.00085512,0.000865539,0.00145738,0.00105962,0.00104927,0.00106944,0.000842843,0.000847082,0.000839311,0.0010479,0.00101694,0.00107548,0.000779215,0.000797174,0.000761438,0.00116569,0.0011692,0.00116229,0.0010371,0.000993852,0.00107788,0.0012457,0.000933313,0.0009358,0.00093092,0.00149455,0.00157444,0.0014171,0.000821403,0.000815661,0.000827025,0.00099267,0.00100525,0.000980051,0.00134733,0.00127738,0.00139554
sub-FREAD008,0.00102843,0.00108288,0.000973666,0.00159708,0.00160767,0.00158746,0.00093379,0.00142797,0.00141321,0.000720963,0.000726869,0.000714646,0.00130609,0.00123651,0.00137621,0.000991476,0.0010361,0.000948382,0.000962382,0.000913288,0.00101496,0.000776036,0.000806191,0.000746006,0.00170514,0.000883312,0.000786895,0.000840976,0.00140631,0.00109371,0.00113387,0.00105559,0.000804593,0.000885405,0.00073725,0.00111118,0.00115411,0.00107293,0.000729418,0.000774799,0.000684495,0.0013743,0.00144713,0.0013037,0.00101785,0.00110135,0.000939114,0.00139841,0.000887936,0.000923551,0.000853679,0.00175815,0.00187774,0.00164222,0.000750244,0.000751322,0.000749189,0.00126624,0.00128594,0.00124647,0.0016986,0.00170536,0.00169394
sub-FREAD009,0.00103454,0.00100945,0.00105977,0.00115674,0.00138352,0.00095061,0.000928015,0.00134675,0.00132395,0.000729479,0.000739899,0.000718333,0.000979797,0.00100506,0.000954341,0.000975349,0.00095995,0.00099022,0.000787939,0.000794967,0.000780412,0.000840065,0.000865429,0.000814806,0.00170659,0.000851813,0.000771759,0.000816662,0.00125598,0.00091169,0.000987288,0.000839945,0.000870409,0.000996659,0.000765201,0.00108864,0.0010439,0.0011285,0.000739539,0.000739655,0.000739424,0.00107799,0.00120494,0.000954936,0.0008686,0.00089606,0.000842709,0.0013466,0.000850076,0.000861199,0.000839378,0.00140165,0.00158779,0.0012212,0.000773375,0.000780553,0.000766348,0.000971514,0.00107904,0.000863655,0.00153552,0.0014986,0.00156096
sub-FREAD010,0.00106876,0.00107258,0.00106492,0.000807918,0.000851542,0.000768264,0.000821544,0.00101315,0.00100832,0.000732942,0.00073503,0.000730709,0.000987694,0.000991435,0.000983924,0.000962538,0.000971056,0.000954311,0.000846496,0.000860074,0.000831955,0.000763639,0.000752553,0.00077468,0.00125134,0.000820702,0.000711928,0.00077294,0.00101028,0.000734749,0.000747132,0.000722996,0.000778249,0.00077634,0.000779839,0.000949822,0.000948561,0.000950946,0.000635498,0.000633213,0.000637759,0.00093953,0.000927227,0.000951454,0.000778657,0.000782284,0.000775237,0.00100012,0.00084947,0.000865284,0.00083426,0.000942994,0.00095901,0.000927468,0.0007296,0.000734442,0.000724859,0.000892752,0.000918348,0.000867076,0.00115196,0.0011761,0.00113532
