subjectID,ACR,ACR-L,ACR-R,ALIC,ALIC-L,ALIC-R,AverageFA,BCC,CC,CGC,CGC-L,CGC-R,CGH,CGH-L,CGH-R,CR,CR-L,CR-R,CST,CST-L,CST-R,EC,EC-L,EC-R,FX,FX/ST-L,FX/ST-R,FXST,GCC,IC,IC-L,IC-R,IFO,IFO-L,IFO-R,PCR,PCR-L,PCR-R,PLIC,PLIC-L,PLIC-R,PTR,PTR-L,PTR-R,RLIC,RLIC-L,RLIC-R,SCC,SCR,SCR-L,SCR-R,SFO,SFO-L,SFO-R,SLF,SLF-L,SLF-R,SS,SS-L,SS-R,UNC,UNC-L,UNC-R
sub-FREAD001,0.00101044,0.00101615,0.0010047,0.0015624,0.00150877,0.00161114,0.00103625,0.0013716,0.00141342,0.000776029,0.000803011,0.000747166,0.00162307,0.00167995,0.00156576,0.000955348,0.000938599,0.000971522,0.000951249,0.000928944,0.000975137,0.000978847,0.000905351,0.00105204,0.00175193,0.000996354,0.00106793,0.00102778,0.00164574,0.00107272,0.00102041,0.00112237,0.00117623,0.00102949,0.00129851,0.00104395,0.00102656,0.00105944,0.000636502,0.000624943,0.000647944,0.00107567,0.00106523,0.00108579,0.00109604,0.00101775,0.00116985,0.00128648,0.000847461,0.00080554,0.000887783,0.00146091,0.00140043,0.00151953,0.000788683,0.000780851,0.000796351,0.00105447,0.00104535,0.00106362,0.00163495,0.00155613,0.00168928
sub-FREAD002,0.00104197,0.00104293,0.001041,0.00168858,0.00165375,0.00172024,0.00113908,0.00151089,0.00155839,0.000774209,0.000785641,0.000761981,0.0016753,0.00170253,0.00164786,0.000975793,0.000960037,0.00099101,0.00106697,0.00109087,0.00104137,0.000983941,0.000996046,0.000971887,0.00223869,0.00120557,0.00126006,0.0012295,0.00170873,0.00118683,0.00117649,0.00119665,0.00123197,0.00125275,0.00121466,0.00104537,0.0010034,0.00108276,0.000663539,0.000674837,0.000652354,0.00132936,0.00141074,0.00125048,0.00130127,0.00131396,0.00128931,0.00150431,0.000865266,0.000842991,0.000886691,0.00162305,0.00162874,0.00161753,0.000836574,0.000832875,0.000840196,0.00126435,0.00128922,0.00123941,0.00202084,0.00197468,0.00205266
sub-FREAD003,0.00091663,0.000922434,0.000910793,0.00153985,0.00149329,0.00158218,0.00103357,0.00140929,0.00144884,0.000697686,0.000710541,0.000683936,0.00157847,0.00158805,0.00156881,0.000885294,0.00086631,0.000903627,0.000943021,0.00092881,0.000958241,0.000908987,0.000859252,0.000958517,0.00182597,0.00104477,0.00110505,0.00107124,0.00153147,0.00109567,0.00106637,0.00112348,0.00103544,0.00102381,0.00104514,0.00103628,0.000986371,0.00108073,0.000654634,0.000668194,0.000641211,0.00113077,0.00114747,0.00111458,0.00117062,0.00112786,0.00121094,0.00143756,0.000771898,0.000741977,0.000800678,0.00163118,0.00165437,0.0016087,0.000851235,0.000884643,0.000818525,0.00108023,0.00107227,0.00108821,0.00202246,0.00196688,0.00206077
sub-FREAD004,0.000845164,0.000767368,0.000923408,0.000867108,0.00101654,0.000731278,0.000715352,0.0010323,0.000966621,0.000584958,0.000587139,0.000582626,0.000954654,0.00116572,0.000741971,0.000781419,0.000751409,0.000810401,0.000675004,0.000728441,0.000617775,0.000659555,0.000667932,0.000651213,0.00137266,0.000598439,0.000622364,0.000608944,0.0009437,0.000652638,0.000699311,0.000608344,0.000647485,0.000650134,0.000645277,0.00082037,0.000834493,0.00080779,0.000493407,0.000497522,0.000489334,0.000771417,0.000862984,0.000682663,0.000625089,0.000630568,0.000619923,0.000894634,0.000689472,0.000691726,0.000687304,0.00119613,0.00135348,0.00104359,0.000588391,0.000594813,0.000582104,0.000694633,0.000714096,0.00067511,0.000922976,0.00100434,0.000866901
sub-FREAD005,0.000939233,0.000943688,0.000934753,0.000989139,0.00111581,0.000873998,0.000913459,0.00113023,0.00116401,0.000718591,0.000749801,0.000685206,0.00159182,0.00166744,0.00151563,0.000859368,0.000861374,0.000857431,0.000909354,0.000897925,0.000921593,0.000826818,0.000888354,0.000765537,0.00148926,0.00112281,0.000973971,0.00105746,0.00127014,0.000845119,0.000911011,0.000782585,0.000896446,0.000939619,0.000860468,0.000894002,0.000832992,0.00094835,0.000563549,0.000579787,0.000547474,0.00114611,0.00116996,0.001123,0.00103383,0.00111104,0.00096104,0.00112617,0.000751496,0.000780657,0.000723448,0.00103807,0.00114836,0.000931148,0.000775222,0.000782886,0.000767718,0.000966684,0.00110182,0.000831129,0.00121342,0.00112481,0.00127449
sub-FREAD006,0.000918188,0.000916252,0.000920136,0.00114548,0.00123274,0.00106616,0.000788649,0.00111566,0.00114907,0.000614941,0.000623699,0.000605573,0.00108436,0.00111487,0.00105362,0.000831407,0.000830636,0.000832151,0.000748716,0.000713747,0.000786167,0.000705902,0.000659336,0.000752276,0.00149342,0.000790055,0.000714138,0.00075672,0.00137304,0.000830277,0.000838167,0.00082279,0.000661666,0.000682965,0.000643917,0.00086104,0.000831338,0.000887499,0.000529394,0.00053112,0.000527685,0.000897001,0.000992608,0.000804332,0.000869124,0.000820846,0.000914643,0.00101719,0.000718331,0.000731659,0.000705511,0.00105056,0.00118349,0.000921709,0.000650777,0.0006432,0.000658196,0.000805515,0.000809548,0.00080147,0.00131035,0.00120276,0.0013845
sub-FREAD007,0.00103871,0.00103612,0.00104131,0.00135273,0.00135639,0.00134941,0.000873882,0.00127165,0.0012652,0.000665839,0.000668723,0.000662754,0.00126663,0.0013598,0.00117275,0.000928871,0.000921511,0.00093598,0.000709081,0.000657635,0.000764178,0.000845246,0.000812985,0.000877373,0.0015567,0.000769846,0.000745962,0.000759359,0.00139346,0.00096641,0.000953356,0.000978798,0.000728858,0.000744024,0.000716219,0.000928949,0.000897804,0.000956692,0.000646315,0.000656806,0.00063593,0.00105309,0.00106047,0.00104594,0.000956262,0.000914887,0.000995272,0.00115457,0.000805117,0.000801266,0.000808822,0.00142663,0.00151926,0.00133683,0.000699022,0.000699798,0.000698262,0.000893257,0.000907203,0.000879267,0.0012913,0.00122156,0.00133937
sub-FREAD008,0.000931707,0.000990066,0.000873012,0.00153602,0.00155006,0.00152326,0.000842985,0.00134761,0.00133223,0.000602312,0.000610362,0.000593701,0.0012693,0.00120741,0.00133166,0.000883802,0.000931856,0.000837395,0.00084261,0.000799329,0.000888962,0.000680134,0.000710154,0.000650238,0.00164747,0.000773363,0.000682331,0.000733391,0.00134466,0.00098205,0.00102615,0.000940195,0.000695175,0.000780319,0.000624221,0.00100658,0.00104634,0.000971167,0.000567753,0.000614695,0.000521285,0.00125906,0.00133825,0.0011823,0.000914456,0.00100773,0.000826511,0.00130125,0.000766332,0.000807893,0.000726356,0.00169589,0.00182049,0.0015751,0.00061558,0.000620864,0.000610406,0.00116696,0.00118781,0.00114605,0.00165374,0.00166103,0.00164871
sub-FREAD009,0.000928184,0.00089768,0.000958864,0.00111817,0.00134134,0.000915322,0.000833281,0.00124506,0.00123331,0.00058867,0.000585537,0.000592022,0.000947265,0.000988909,0.000905301,0.000858375,0.000834522,0.00088141,0.000667341,0.000670651,0.000663796,0.000732113,0.000761627,0.000702721,0.00164188,0.000731167,0.000642194,0.0006921,0.00118427,0.000800997,0.000877399,0.000728488,0.000788559,0.000967859,0.000639142,0.000970992,0.000915325,0.00102058,0.000590828,0.000590563,0.00059109,0.000953843,0.00109437,0.000817634,0.000730216,0.000766795,0.000695727,0.0012561,0.00072149,0.000721602,0.000721383,0.00133916,0.00153493,0.00114939,0.000645488,0.000662558,0.000628774,0.000854002,0.000974645,0.000732986,0.00147057,0.00143898,0.00149234
sub-FREAD010,0.000963523,0.000966645,0.000960383,0.000760737,0.000810475,0.000715527,0.00071186,0.000923111,0.000913875,0.000602504,0.000600336,0.000604823,0.000955318,0.000942656,0.000968078,0.000839241,0.000842751,0.000835851,0.000738428,0.000742368,0.000734209,0.00065009,0.00063401,0.000666104,0.00118907,0.00071286,0.000600322,0.000663445,0.000930708,0.000622034,0.000636925,0.000607902,0.000654957,0.000645903,0.000662501,0.000817721,0.000811781,0.000823012,0.00047511,0.000474028,0.000476182,0.000782355,0.000789923,0.000775019,0.000656357,0.000663171,0.000649932,0.000887835,0.000710387,0.000715421,0.000705545,0.000880323,0.00090274,0.000858593,0.000585138,0.000587104,0.000583213,0.000765557,0.000793035,0.000737994,0.00110284,0.00112817,0.00108538
